GNa,GNaL,Gto,GKr,GKs,GKur,GK1,GCaL,Pnak,Gncx,GpCa,Rel,SERCA,Leak
0.88736,0.91179,0.34752,1.074,2.5493,0.40743,2.2449,0.59574,1.1099,1.2767,0.91121,1.0896,0.97909,1.2857
0.93648,1.1119,0.35081,0.9923,1.7648,0.45394,2.1321,0.58839,0.81452,1.4356,1.0583,1.2686,0.78772,1.2524
0.77862,1.2051,0.31598,1.075,1.997,0.44645,1.9488,0.55033,0.9675,1.4247,1.0759,1.1122,1.0233,1.3288
0.83424,1.1465,0.34254,1.2096,1.9715,0.50501,1.7274,0.62944,0.94157,1.5666,1.0547,1.1584,0.9352,1.2602
0.69312,1.1935,0.30389,0.95273,1.7232,0.4432,2.5594,0.58604,1.0697,1.4813,1.1114,0.87601,0.99232,1.2665
1.0289,1.0641,0.33017,0.82825,1.6313,0.45959,2.1605,0.67404,0.93288,1.2422,1.2734,1.0514,0.9022,1.3268
0.78753,1.0509,0.33321,0.96456,1.7714,0.48424,2.3113,0.58983,0.97811,1.5082,0.98327,0.87797,0.9235,1.2509
0.95516,0.80088,0.30654,0.89592,2.0466,0.47224,2.0868,0.67561,0.97556,1.5239,0.82412,1.0302,1.1355,1.1421
0.83567,1.1725,0.287,0.87717,1.9923,0.47366,2.4152,0.64192,1.1956,1.4787,0.76237,1.0244,1.0648,1.2332
0.83626,0.86475,0.32527,1.0583,2.0833,0.37938,2.0342,0.56572,0.98555,1.2496,0.82675,1.1987,0.96716,1.3156
0.86619,1.0028,0.28798,0.86573,2.0365,0.40456,2.0755,0.56192,0.94862,1.8241,0.86383,1.0249,0.87429,1.2676
0.93225,1.2328,0.3118,1.0218,2.1845,0.46905,2.301,0.68054,0.88567,1.3886,1.1489,1.2433,0.85898,1.5421
0.81316,1.0662,0.23906,0.94467,1.9191,0.46087,1.9488,0.6745,1.0541,1.5264,1.0718,1.0002,1.0062,1.1353
0.75673,0.80115,0.26623,1.1816,2.2114,0.42253,2.6578,0.5432,0.82903,1.2619,1.0125,1.034,1.0302,1.2815
0.82832,0.92362,0.26537,1.0093,1.8888,0.39121,2.0619,0.537,0.94697,1.4496,1.1294,1.2711,0.90229,1.2172
0.82924,1.0586,0.26962,0.99566,1.962,0.51909,2.1471,0.67844,1.0659,1.4552,1.0246,0.91309,0.98315,1.3167
0.8204,0.85455,0.26433,1.0133,1.8286,0.5027,1.9605,0.66173,0.91464,1.2641,1.0636,1.2264,0.86319,1.2494
