GNa,GNaL,Gto,GKr,GKs,GKur,GK1,GCaL,Pnak,Gncx,GpCa,Rel,SERCA,Leak
0.88736,0.91179,0.34752,1.074,2.5493,0.40743,2.2449,0.59574,1.1099,1.2767,0.91121,1.0896,0.97909,1.2857
0.93648,1.1119,0.35081,0.9923,1.7648,0.45394,2.1321,0.58839,0.81452,1.4356,1.0583,1.2686,0.78772,1.2524
0.99205,0.83804,0.2621,0.84734,1.9427,0.49799,2.1139,0.65891,1.0698,1.4968,1.0271,1.2183,0.92097,1.3108
0.91744,1.2116,0.3151,0.99605,1.8148,0.38888,1.745,0.54728,1.0731,1.1394,1.1698,0.94941,1.083,1.3757
0.69312,1.1935,0.30389,0.95273,1.7232,0.4432,2.5594,0.58604,1.0697,1.4813,1.1114,0.87601,0.99232,1.2665
0.86307,1.1291,0.42467,1.1773,2.0006,0.33839,2.0779,0.5331,1.1764,1.262,0.97457,1.1813,1.1532,1.1872
0.95323,1.1108,0.2515,1.0105,2.466,0.43632,1.983,0.55122,0.94207,1.2412,0.89198,1.1335,1.1637,1.1581
1.0289,1.0641,0.33017,0.82825,1.6313,0.45959,2.1605,0.67404,0.93288,1.2422,1.2734,1.0514,0.9022,1.3268
0.78753,1.0509,0.33321,0.96456,1.7714,0.48424,2.3113,0.58983,0.97811,1.5082,0.98327,0.87797,0.9235,1.2509
0.88087,0.94653,0.28282,1.2266,2.3233,0.48442,2.3474,0.6204,1.1775,1.6717,1.0353,1.1511,0.94421,1.1519
0.83567,1.1725,0.287,0.87717,1.9923,0.47366,2.4152,0.64192,1.1956,1.4787,0.76237,1.0244,1.0648,1.2332
0.89525,1.062,0.29973,0.93115,1.7912,0.45249,2.0655,0.56751,1.0178,1.4549,0.96763,1.01,1.0578,1.4553
0.85452,1.0567,0.2584,0.92909,1.942,0.42733,1.9787,0.50882,1.029,1.6257,1.1025,0.96504,1.0875,1.0896
0.83626,0.86475,0.32527,1.0583,2.0833,0.37938,2.0342,0.56572,0.98555,1.2496,0.82675,1.1987,0.96716,1.3156
1.0042,0.86503,0.34423,1.0133,1.7698,0.39992,1.7426,0.51546,0.94958,1.5492,0.99383,0.94088,1.267,1.0811
0.86619,1.0028,0.28798,0.86573,2.0365,0.40456,2.0755,0.56192,0.94862,1.8241,0.86383,1.0249,0.87429,1.2676
0.93225,1.2328,0.3118,1.0218,2.1845,0.46905,2.301,0.68054,0.88567,1.3886,1.1489,1.2433,0.85898,1.5421
