Vrest,dVdt,APA,APD20,APD40,APD50,APD90,TriAP,DCai,Capeak,CaD50,CaD90,TriCa,dCa,Gender,class
-77.489,152.88,116.1,7.9411,83.613,117.61,263.58,145.97,324.05,533.47,252.58,591.58,339,214.57,0,1
-75.793,124.45,111.32,8.5118,77.967,110.97,265.97,155,173.59,392.18,217.97,473.97,256,219.32,0,1
-77.616,180.96,119.78,7.5714,66.568,100.57,239.57,139,199.06,417.96,281.57,613.57,332,222.29,0,1
-76.926,131.37,110.96,6.6257,59.048,96.048,244.09,148.04,270.73,495.48,256.09,592.09,336,228.88,0,1
-78.267,187.41,120.46,7.2721,80.259,117.26,249.26,132,326.98,566.08,215.26,502.26,287,241.46,0,1
-77.997,193.42,119.71,6.5454,63.581,101.58,237.58,136,374.03,628.6,203.58,479.58,276,256.78,0,1
-75.106,138.36,114.05,9.1168,76.986,109.99,265.99,156,189.81,424.64,247.99,526.99,279,236.21,0,1
-74.893,184.64,114.23,5.8327,62.12,99.12,253.12,154,100.76,340.86,301.12,629.12,328,241.9,0,1
-76.343,166.36,117.68,7.7049,70.653,105.65,262.65,157,241.86,475.74,258.65,573.65,315,236.85,0,1
-77.075,130.4,113.29,9.3312,72.88,104.88,251.88,147,395.5,623.16,213.88,510.88,297,230.92,0,1
-75.266,133.83,111.93,7.4679,79.932,111.93,263.17,151.24,225.64,461.57,274.17,609.17,335,239.72,0,1
-77.131,176.98,117.84,6.8304,73.11,110.11,253.11,143,201.61,462.33,314.11,659.11,345,265.63,0,1
-76.126,197.21,117.15,6.0884,77.422,114.42,263.42,149,193.22,404.85,244.42,557.42,313,213.77,0,1
-75.722,147.32,111.26,6.1348,68.497,100.5,247.5,147,109.26,321.81,322.5,670.5,348,215.39,0,1
-75.237,125.33,110.52,7.3653,56.731,91.731,260.73,169,452.07,713.29,184.73,433.73,249,262.82,0,1
-75.791,156.89,115.7,7.5929,74.435,108.44,258.44,150,116.36,329.2,277.44,582.44,305,214.24,0,1
-77.269,143.04,113.38,6.9174,70.269,102.27,252.98,150.71,215.4,428.17,262.98,598.35,335.37,216.14,0,1
-76.286,141.59,113.81,7.7317,73.039,102.04,244.04,142,135.75,384.38,282.04,589.04,307,250.37,0,1
-76.64,139.12,112.86,7.3821,69.382,105.38,255.38,150,120.56,346.23,321.38,658.38,337,228.43,0,1
-76.136,177.83,116.32,6.4317,57.439,90.439,240.47,150.03,248.44,480.91,267.47,608.47,341,236.74,0,1
-77.156,153.46,114.25,6.5041,60.705,101.71,251.71,150,252.32,504.66,258.71,573.71,315,255.44,0,1
-77.897,177.87,117.38,6.3756,57.659,99.659,240.66,141,232.84,452.63,257.66,583.66,326,222.98,0,1
-76.81,162.11,117.4,8.1083,67.285,106.28,265.22,158.93,380.73,595.66,207.22,496.22,289,217.62,0,1
-75.967,154.37,114.28,6.8639,72.695,108.69,263.69,155,255.67,483.15,237.69,548.69,311,230.14,0,1
-76.446,185.96,118.46,6.8269,56.838,93.838,245.84,152,181.75,409.92,244.84,532.84,288,229.59,0,1
-78.512,146.73,115.54,8.1991,92.14,123.14,248.14,125,201.82,415.9,253.14,568.14,315,216.47,0,1
-77.352,135.12,112.76,7.8059,73.615,107.61,246.61,139,109.27,335.49,333.61,671.61,338,229.04,0,1
-77.089,173.26,117.87,7.0703,69.972,109.97,246.97,137,271.04,473.17,204.97,480.97,276,203.62,0,1
-77.002,154.55,117.04,8.915,78.372,111.37,245.37,134,243.69,458.72,241.37,544.37,303,217.35,0,1
-77.579,171.62,118.52,7.7242,61.729,92.729,235.73,143,316.68,536.71,221.73,524.73,303,222.84,0,1
-76.432,160.47,115.64,6.898,84.5,115.5,257.5,142,137.5,364.85,303.5,640.5,337,230.21,0,1
-76.99,157.48,117.21,8.6491,64.249,94.249,244.25,150,103.05,328.28,306.25,613.25,307,226.66,0,1
-78.262,183.73,118.54,6.645,75.62,114.62,244.62,130,120.07,335.88,240.62,514.62,274,216.64,0,1
-76.352,164.5,116.38,7.1907,63.782,97.782,250.78,153,143.5,370.46,320.78,664.78,344,230.45,0,1
-76.079,124.58,109.24,6.4408,62.5,102.5,261.5,159,256.77,468.87,230.5,545.5,315,214.76,0,1
-76.826,140.61,114.69,9.163,65.767,98.767,247.77,149,110.25,331.94,318.76,632.76,314,223.6,0,1
-75.258,191.04,118.43,6.6966,57.424,97.352,266.35,169,249.34,476.53,194.35,438.35,244,227.92,0,1
-76.73,128.42,111.74,7.8022,79.262,116.26,266.26,150,126.8,329.72,295.26,620.26,325,205.05,0,1
-76.722,149.83,116.31,9.0227,72.345,103.35,249.35,146,129.4,375.92,318.35,631.35,313,248.62,0,1
-74.511,198.77,118.62,6.8291,63.27,102.27,257.27,155,100.36,298.18,265.27,563.27,298,198.91,0,1
-74.815,145.98,114.67,8.2389,78.715,110.71,266.71,156,173.24,433.59,329.71,671.71,342,264.75,0,1
-75.834,130.93,111.16,7.3521,59.827,96.827,256.83,160,145.27,355.11,256.83,554.83,298,211.2,0,1
-78.241,135.78,113.13,7.6089,78.556,111.56,242.56,131,179.03,383.34,266.56,590.56,324,206.83,0,1
-76.718,153.37,114.2,6.6036,59.587,91.587,237.71,146.12,250.23,466.18,184.71,434.71,250,216.78,0,1
-77.798,167.88,118.47,8.1956,73.647,109.65,253.05,143.4,156.71,330,278.05,609.05,331,175.82,0,1
-78.05,169.49,117.72,7.1187,72.636,110.64,246.64,136,179.13,399.28,264.64,578.64,314,222.37,0,1
-77.022,126.43,112.23,9.163,77.17,104.17,239.17,135,266.5,513.48,258.17,582.17,324,250.63,0,1
-77.241,155.69,114.31,6.4865,77.655,113.66,247.66,134,126.43,332.16,266.66,577.66,311,207.29,0,1
-76.789,157.87,115.75,7.1999,76.344,109.34,256.34,147,200.43,409.22,252.34,570.34,318,211.18,0,1
-76.728,125.84,112.03,8.8788,80.559,113.56,258.56,145,185.37,409.3,310.63,655.63,345,228.32,0,1
-75.2,143.4,112.87,6.9636,63.239,98.239,260.24,162,181.17,405.04,272.24,595.24,323,226.4,0,1
-76.028,153.88,115.36,7.2711,58.762,93.762,250.76,157,413.47,655.62,215.76,512.77,297.01,245.57,0,1
-75.068,131.93,111.68,7.5217,60.892,94.892,257.89,163,123.34,348.3,302.89,619.89,317,226.83,0,1
-77.202,189.74,119.99,7.1336,79.641,115.64,256.64,141,217.78,440.88,253.64,568.64,315,225.68,0,1
-75.74,147.88,113.4,6.8832,55.662,92.662,262.81,170.15,277.99,513.35,222.81,507.81,285,237.24,0,1
-77.274,179.69,120.02,8.0657,68.032,104.03,244.03,140,266.64,483.36,241.03,547.03,306,219.37,0,1
-75.935,147.26,114.37,7.6635,73.119,105.12,256.12,151,303.73,559.04,278.12,624.12,346,261.29,0,1
-77.3,198.75,119.9,6.6178,63.45,104.45,254.75,150.3,310.82,516.76,179.75,431.75,252,206.98,0,1
-76.584,140.32,113.07,7.1862,58.683,90.683,238.68,148,110.26,323.33,324.68,661.68,337,215.65,0,1
-75.793,129.1,109.6,6.3233,61.089,96.089,260.09,164,208.03,442.58,291.09,639.09,348,239.02,0,1
-75.598,178.59,119.4,8.3184,78.869,111.87,261.32,149.45,185.12,393.15,236.32,522.32,286,209.44,0,1
-75.76,216.97,120.2,6.3913,56.082,97.082,253.08,156,108.28,363.55,330.08,663.08,333,257.79,0,1
