Vrest,dVdt,APA,APD20,APD40,APD50,APD90,TriAP,DCai,Capeak,CaD50,CaD90,TriCa,dCa,SA,sex
-77.489,152.88,116.1,7.9411,83.613,117.61,263.58,145.97,324.05,533.47,252.58,591.58,339,214.57,0,0
-75.821,204.42,120.13,6.6421,75.284,115.28,274.28,159,181.23,411.17,300.28,638.28,338,233.67,0,1
-75.793,124.45,111.32,8.5118,77.967,110.97,265.97,155,173.59,392.18,217.97,473.97,256,219.32,0,1
-76.408,177.69,116.85,6.4877,43.982,81.511,245.51,164,237.03,460.92,219.51,492.77,273.26,225.16,0,0
-75.089,127.17,112.8,10.311,79.433,111.43,275.43,164,308.97,566.56,268.43,587.43,319,261.9,0,0
-74.479,152.82,112.6,6.3407,58.616,101.62,282.62,181,133.9,352.98,313.62,651.62,338,222.01,0,1
-75.151,193.05,117.43,6.3765,38.133,80.133,260.13,180,196.6,423.3,291.13,628.13,337,230.4,0,0
-78.267,187.41,120.46,7.2721,80.259,117.26,249.26,132,326.98,566.08,215.26,502.26,287,241.46,0,0
-75.056,134.68,111.03,6.8088,43.167,76.317,254.32,178,408.88,633.13,185.32,448.32,263,225.99,0,0
-77.306,181.23,120.04,7.9005,53.226,92.226,251.23,159,488.3,715.86,201.23,481.23,280,230.67,0,1
-73.584,129.71,108.49,6.3859,49.848,100.85,287.85,187,124.69,325.32,217.85,472.85,255,201.09,0,1
-75.106,138.36,114.05,9.1168,76.986,109.99,265.99,156,189.81,424.64,247.99,526.99,279,236.21,0,0
-74.893,184.64,114.23,5.8327,62.12,99.12,253.12,154,100.76,340.86,301.12,629.12,328,241.9,0,0
-76.343,166.36,117.68,7.7049,70.653,105.65,262.65,157,241.86,475.74,258.65,573.65,315,236.85,0,0
-77.075,130.4,113.29,9.3312,72.88,104.88,251.88,147,395.5,623.16,213.88,510.88,297,230.92,0,0
-78.045,244.66,124.51,6.4696,75.089,118.09,254.09,136,184.08,414.3,224.09,489.09,265,231.22,0,0
-75.667,173.97,115.74,6.2588,34.687,67.589,246.59,179,327.9,517.23,144.59,340.59,196,189.37,0,1
-73.283,160.25,114.99,7.3177,51.185,85.185,260.7,175.51,196.06,422.84,241.7,522.7,281,228.12,0,0
-75.266,133.83,111.93,7.4679,79.932,111.93,263.17,151.24,225.64,461.57,274.17,609.17,335,239.72,0,1
-76.409,196.65,121.97,8.2227,84.855,123.85,272.85,149,164.85,405.44,233.85,484.85,251,241.39,0,1
-75.555,131.8,111.89,7.6291,65.866,106.87,278.37,171.5,355.67,585.78,216.37,509.37,293,232.85,0,0
-76.411,215.99,123.82,7.7908,85.914,121.91,267.91,146,142.11,362.49,306.91,634.91,328,223.14,0,1
-77.192,228.19,122.55,6.5369,84.808,121.81,256.81,135,88.663,291.58,284.81,591.81,307,204.12,0,0
-74.573,157.47,112.72,6.2751,38.883,76.841,267.84,191,330.95,535.93,193.84,468.84,275,206.64,0,0
-76.665,166.44,114.97,6.2661,79.329,113.33,257.33,144,88.294,293.07,348.33,692.33,344,207.48,0,0
-77.131,176.98,117.84,6.8304,73.11,110.11,253.11,143,201.61,462.33,314.11,659.11,345,265.63,0,0
-76.126,197.21,117.15,6.0884,77.422,114.42,263.42,149,193.22,404.85,244.42,557.42,313,213.77,0,1
-74.872,122.4,107.38,6.0926,28.959,64.772,253.77,189,106.61,326.74,252.77,525.77,273,220.76,0,0
-75.196,131.86,110.85,7.0917,48.896,82.317,258.12,175.8,263.36,488.82,239.12,545.12,306,228.01,0,1
-75.281,170.5,116.7,7.039,52.919,86.919,252.92,166,237.1,474.96,244.92,538.92,294,239.91,0,0
-75.722,147.32,111.26,6.1348,68.497,100.5,247.5,147,109.26,321.81,322.5,670.5,348,215.39,0,0
-75.237,125.33,110.52,7.3653,56.731,91.731,260.73,169,452.07,713.29,184.73,433.73,249,262.82,0,1
-75.359,236.2,121.94,6.4844,36.576,86.372,247.37,161,63.859,293.73,311.37,621.37,310,230.86,0,1
-75.791,156.89,115.7,7.5929,74.435,108.44,258.44,150,116.36,329.2,277.44,582.44,305,214.24,0,1
-76.262,225.47,120.84,6.0584,44.727,87.727,254.18,166.45,217.51,458.86,268.18,587.18,319,244.28,0,0
-77.269,143.04,113.38,6.9174,70.269,102.27,252.98,150.71,215.4,428.17,262.98,598.35,335.37,216.14,0,1
-76.086,176.96,118.5,7.3232,78.914,116.91,279.91,163,249.18,460.97,247.91,565.91,318,214.75,0,1
-74.959,137.21,112.74,7.8001,66.663,103.66,272.66,169,240.55,479.04,251.66,553.66,302,240.9,0,1
-75.487,155.85,113.84,6.5647,44.122,80.122,248.45,168.33,189.34,414.08,312.45,663.45,351,229.56,0,1
-75.127,131.12,109.93,6.425,40.892,77.892,252.89,175,180.55,385.52,260.89,577.89,317,207.16,0,1
-75.223,152.47,115.62,8.2851,78.417,112.42,269.42,157,107.93,328.26,353.42,694.42,341,223.68,0,0
-75.338,140.97,109.97,5.8747,46.072,82.072,245.07,163,142.92,382.32,350.07,709.07,359,244.64,0,1
-76.84,138.44,112.14,6.84,96.368,128.37,274.37,146,141.95,370.93,255.37,557.37,302,230.48,0,1
-76.64,139.12,112.86,7.3821,69.382,105.38,255.38,150,120.56,346.23,321.38,658.38,337,228.43,0,1
-74.932,151.54,114.32,7.0841,74.231,112.23,280.23,168,368.78,608.93,240.23,565.23,325,244.91,0,0
-77.156,153.46,114.25,6.5041,60.705,101.71,251.71,150,252.32,504.66,258.71,573.71,315,255.44,0,0
-74.651,150.3,113.66,7.1452,87.434,120.43,280.43,160,145.06,390.56,240.43,515.43,275,246.61,0,1
-75.681,125.1,109.38,6.6524,54.665,92.665,256.12,163.46,97.526,304.06,340.12,682.12,342,209.24,0,0
-76.335,232.45,122.85,6.4366,47.098,98.098,254.1,156,128.03,333.6,291.1,608.1,317,207.45,0,0
-75.66,161.46,116.27,7.3855,76.072,114.07,277.07,163,73.035,280.19,342.07,669.07,327,208.89,0,1
-76.81,162.11,117.4,8.1083,67.285,106.28,265.22,158.93,380.73,595.66,207.22,496.22,289,217.62,0,0
