Vrest,dVdt,APA,APD20,APD40,APD50,APD90,TriAP,DCai,Capeak,CaD50,CaD90,TriCa,dCa,Gender,class
-76.663,234.98,115.97,5.2648,86.449,127.45,288.45,161,266.95,498.15,259.45,596.45,337,235.48,0,2
-77.678,291.19,119.27,4.9482,94.045,135.04,274.04,139,236.32,445.37,220.04,520.04,300,211.07,0,2
-77.772,192.68,115.21,5.3839,74.254,130.25,275.25,145,368.9,591.4,162.25,404.25,242,223.58,0,2
-75.808,149.55,107.29,5.2314,63.361,106.36,276.58,170.22,237.68,470.66,263.58,608.58,345,237.16,0,2
-74.817,163.5,110.65,5.5716,51.188,110.19,308.19,198,463.18,699.89,186.19,465.19,279,239.43,0,2
-76.435,181.45,108.93,4.9031,80.056,130.06,299.06,169,265.46,468.88,221.06,537.06,316,206.11,0,2
-76.97,195.31,115.2,5.4002,71.314,109.31,250.31,141,204.68,440.49,235.31,540.31,305,237.82,0,2
-76.381,218.77,117.92,5.5852,67.819,118.82,281.82,163,299.2,518.53,211.82,504.82,293,221.59,0,2
-76.512,146.28,111.51,5.9225,85.593,132.59,292.59,160,380.43,594.27,183.59,456.59,273,215.8,0,2
-74.494,140.07,106.96,5.5101,67.996,112,294,182,241.96,455.66,232,551,319,216.41,0,2
-75.223,170.67,116.34,6.8562,101.8,134.8,281.8,147,154.81,384.51,335.8,682.8,347,234.25,0,2
-75.527,198.91,118.45,6.4059,82.795,121.79,255.79,134,406.89,633.22,191.79,464.92,273.12,228.62,0,2
-77.46,199.96,116.52,5.7595,104.2,139.2,293.2,154,250.32,458.2,276.2,622.2,346,212.79,0,2
-74.747,176.69,116.06,6.6826,82.725,123.73,276.73,153,438.05,673.74,229.73,547.73,318,240.79,0,2
-76.289,233.58,117.34,5.4286,88.065,135.06,295.06,160,337.27,540.47,197.06,485.06,288,205.41,0,2
-78.159,231.34,118.36,5.5042,113.14,148.14,286.14,138,254.9,473.89,278.14,620.14,342,223.88,0,2
-75.4,176.35,112.87,5.5235,53.886,105.89,293.89,188,342.86,569.89,255.89,600.89,345,232.92,0,2
-73.265,163.42,115.08,7.1491,102.89,139.89,292.89,153,419.32,632.57,210.89,509.89,299,216.79,0,2
-74.982,145.5,107.76,5.2665,52.217,97.217,266.22,169,171.12,392.17,266.22,598.22,332,223.68,0,2
-74.477,157.09,109.42,5.5119,84.635,123.64,303.64,180,122.12,323.04,323.64,669.64,346,204.1,0,2
-77.144,244.72,116.9,5.1925,94.856,136.86,292.09,155.24,332.38,564.15,193.86,474.09,280.24,233.82,0,2
-76.096,217.7,112.6,5.0052,73.075,118.07,290.07,172,330.06,579.27,282.07,638.07,356,256.67,0,2
-74.622,169.73,111.52,5.6111,72.859,112.86,283.86,171,134.7,318.53,314.86,666.86,352,187.33,0,2
-75.232,141.35,109.84,5.8886,52.789,90.789,259.79,169,245.73,477.55,228.79,534.79,306,234.06,0,2
-78.469,281.85,118.24,4.617,89.948,137.95,284.95,147,240.06,449.81,268.95,609.95,341,213.99,0,2
-77.043,229.11,118.48,5.6268,89.919,140.92,300.92,160,494.02,708.57,136.92,342.92,206,215.23,0,2
-76.787,143.71,110.89,5.9487,95.617,132.62,275.62,143,313.88,540.4,211.62,511.62,300,229.14,0,2
-74.949,184.76,114.65,5.8619,96.697,133.7,304.06,170.37,226.9,428.85,201.7,481.06,279.37,203.27,0,2
-75.945,224.62,112.84,5.0177,78.861,121.86,276.86,155,235.22,457.19,186.86,451.86,265,223.07,0,2
-75.95,159.63,110.86,5.5303,70.191,116.19,282.19,166,204.55,416.68,266.19,602.19,336,215.43,0,2
-76.198,196.9,114.56,5.34,50.51,94.51,250.76,156.25,152.32,366.35,281.76,618.76,337,216.72,0,2
-79.177,289.68,120.58,4.94,96.101,145.1,285.1,140,393.22,590.17,181.1,454.1,273,198.96,0,2
-77.586,222.43,112.68,4.7645,88.894,129.89,284.42,154.52,253.4,446.75,248.89,590.13,341.23,197.31,0,2
-76.229,189.54,114.95,5.6515,108.85,145.85,307.85,162,212.57,445.1,263.85,587.85,324,235.58,0,2
-76.436,153.72,110.62,5.5564,68.245,110.25,274.25,164,288.46,491.58,213.25,523.25,310,205.77,0,2
-77.149,205.61,116.68,5.6584,113.97,147.97,305.97,158,295.7,499.96,238.97,561.97,323,207.99,0,2
-75.328,192.34,112.48,5.3314,56.528,113.53,296.89,183.36,223.98,422.81,249.89,581.89,332,201.95,0,2
-75.626,185.09,116.55,6.3738,71.282,124.28,309.28,185,402.37,610.27,221.28,535.18,313.9,212.09,0,2
-75.181,203.77,115.25,5.6471,93.64,129.64,286.64,157,255.42,474.64,235.64,550.64,315,222.08,0,2
-76.117,239.83,111.84,4.7038,72.816,119.82,295.57,175.75,163.47,370.13,279.57,619.57,340,209.64,0,2
-74.884,199.82,107.71,4.8425,75.455,118.46,300.46,182,130.07,340.04,327.46,677.46,350,213.65,0,2
-78.32,257.87,119.06,5.1476,72.809,117.81,259.61,141.8,326.38,576.15,258.61,597.61,339,255.19,0,2
-77.276,236.22,117.14,5.1228,82.55,123.55,273.55,150,135.87,337.26,271.55,594.55,323,203.34,0,2
-78.673,218.81,116.75,5.177,62.019,105.02,234.02,129,218.54,403.28,206.02,501.02,295,186.27,0,2
-74.936,151.59,112.78,6.5101,111.03,144.03,299.03,155,163.21,393.33,267.03,580.03,313,232.32,0,2
-75.599,201.03,115.27,5.5949,93.204,130.2,284.2,154,137.49,343.77,290.2,621.2,331,208.77,0,2
-76.707,169.08,112.37,5.4284,63.316,101.32,241.32,140,220.24,448.61,270.32,616.32,346,232.43,0,2
-74.922,189.55,116.69,6.2154,94.417,140.42,309.42,169,336.05,548.22,202.42,490.42,288,214.38,0,2
-74.493,156.04,111.19,5.9733,83.653,122.65,280.65,158,250.05,482.69,280.65,627.65,347,237.71,0,2
-73.901,166.65,108.23,5.2022,66.949,109.95,283.95,174,129.02,337.16,286.95,621.95,335,210.47,0,2
-75.094,230.13,115.49,5.3175,52.113,100.11,266.11,166,195.36,425.41,228.11,520.11,292,231.55,0,2
-75.234,257.07,119.01,5.7312,79.695,120.69,278.69,158,276.92,482.94,248.69,581.69,333,210.02,0,2
-77.82,285.26,120.93,5.2553,84.405,125.41,264.41,139,164.2,342.81,285.51,629.51,344,181.88,0,2
-76.433,172.4,117.13,6.9841,105.04,143.04,289.04,146,430.97,658.81,191.04,461.04,270,230.24,0,2
-76.091,178.99,117.94,6.8671,102.96,144.96,309.22,164.26,458.49,678.56,202.96,494.22,291.26,223.47,0,2
-77.883,245.58,117.89,5.1955,57.533,120.53,274.53,154,353.85,557.68,176.53,441.53,265,205.32,0,2
-75.966,222.22,112.61,5.0296,85.998,128,289,161,135.42,333.16,243,546,303,199.09,0,2
-77.125,187.68,113.34,5.2692,78.773,114.77,262.77,148,199.59,411.12,250.77,579.77,329,214.28,0,2
-77.44,152.51,113.87,6.6402,124.43,158.43,306.43,148,242.57,451.67,268.43,602.43,334,213.11,0,2
-76.783,184.28,113.49,5.4448,92.22,125.22,285.3,160.08,275.23,497.26,241.3,569.3,328,225.71,0,2
-76.037,155.12,112.97,6.1759,51.373,121.37,308.37,187,511.24,730.94,161.37,401.37,240,221.14,0,2
-75.905,176.23,113.81,5.8393,73.899,124.9,306.9,182,469.21,706.38,179.9,447.9,268,239.49,0,2
-76.748,263.17,120.56,5.6138,71.09,115.09,250.42,135.33,322.99,562.06,205.42,490.42,285,241.27,0,2
-74.241,180.27,114.84,6.1853,102.89,141.89,297.89,156,315.49,543.73,206.89,493.89,287,230.43,0,2
-76.601,236.53,115.17,5.1816,65.428,116.43,275.43,159,377.68,620.85,191.43,470.43,279,245.43,0,2
-75.394,151.83,106.43,5.0545,55.182,113.18,300.18,187,256.45,469.69,233.18,559.18,326,216.3,0,2
-77.073,275.37,118.54,5.1916,109.27,144.27,300.27,156,230.33,461.32,240.27,551.27,311,233.56,0,2
-76.37,144.46,105.4,4.925,73.187,119.19,282.19,163,205.99,392.36,247.19,585.19,338,189.39,0,2
-76.796,194.87,114.99,5.4373,75.339,121.34,272.34,151,203.13,376.29,188.34,455.34,267,173.97,0,2
-74.642,145.99,109.78,5.7919,61.661,111.66,301.66,190,406.12,640.46,200.66,495.66,295,237.39,0,2
-77.944,214.94,115.4,5.0792,76.677,116.68,251.68,135,224.06,435.51,252.68,585.68,333,214.74,0,2
-75.027,178.77,107.26,4.902,71.874,125.87,300.87,175,244.57,429.87,180.87,452.87,272,186.39,0,2
-75.877,295.8,117,4.899,86.995,129,291,162,213.06,416.87,233,545,312,206.05,0,2
-73.82,160.47,107.83,5.3187,89.13,126.13,296.13,170,196.76,396.48,182.13,442.13,260,200.6,0,2
-74.391,149.11,110.42,6.0389,84.767,122.77,293.77,171,202.77,412.14,251.77,576.77,325,212.02,0,2
-75.362,182.23,115.17,5.9013,60.646,110.65,278.65,168,261.04,453.15,208.65,502.65,294,193.93,0,2
-76.403,246.01,119.56,5.6896,89.983,132.98,296.98,164,335.42,574.49,247.98,574.98,327,243.72,0,2
-75.469,163.58,110.47,5.4995,76.841,120.84,294.84,174,283.74,505.24,245.84,579.84,334,225.54,0,2
-73.414,181.3,114.83,6.162,81.636,121.64,281.64,160,184.34,371.44,204.64,475.64,271,188.04,0,2
-75.36,151.79,109.68,5.6194,73.599,120.6,298.6,178,339.88,585.79,200.6,489.6,289,248.33,0,2
-76.09,183.51,113.05,5.5638,95.349,129.35,283.35,154,245.64,454.24,199.35,481.35,282,210.14,0,2
-73.968,164.03,108.49,5.4065,66.16,118.16,305.62,187.46,185.87,395.85,202.16,473.62,271.46,210.94,0,2
-76.327,275.82,120.73,5.4505,71.28,118.28,287.28,169,287.73,521.39,250.28,577.28,327,237.64,0,2
-74.949,212.15,112.75,5.2368,62.829,117.83,294.83,177,220.55,415.67,216.83,517.83,301,196.86,0,2
-74.703,169.96,114.22,6.35,53.754,107.75,292.73,184.97,473.78,713.97,181.75,445.73,263.97,242.41,0,2
-75.949,165.39,113.75,6.0572,76.651,118.65,292.65,174,329.35,554.8,256.65,598.65,342,230.98,0,2
-75.362,184.64,109.05,5.0007,62.687,105.69,264.96,159.27,152.77,365.65,287.96,633.96,346,215.97,0,2
-73.958,142.17,109.58,6.144,79.198,122.2,304.2,182,118.61,312.42,321.2,663.2,342,196.72,0,2
-78.003,260.95,118.93,5.2992,82.885,132.88,288.88,156,467.94,703.11,201.88,495.2,293.32,238.79,0,2
-76.662,171.41,113.48,5.6391,94.936,132.94,295.94,163,280.89,494.63,239.94,566.94,327,217.38,0,2
-76.741,202.23,114.03,5.3535,57.69,112.69,279.69,167,377.68,603.16,199.69,492.69,293,228.25,0,2
-75.33,201.2,114.04,5.5068,67.726,126.73,306.73,180,465.27,696.19,148.73,373.73,225,231.94,0,2
-76.09,167.08,111.06,5.3135,59.051,110.05,276.05,166,173.25,375.66,229.05,528.05,299,203.83,0,2
-74.168,167.78,110.93,5.5719,61.838,117.84,307.84,190,378.89,587.77,180.84,454.84,274,210.75,0,2
-74.996,198.57,112.13,5.3682,64.814,110.81,286.81,176,209.37,404.89,230.81,545.81,315,197.67,0,2
-76.975,217.01,110.68,4.6309,94.068,138.07,294.07,156,178.22,368.84,185.07,452.07,267,191.43,0,2
-76.467,252.45,115.89,5.0135,59.022,109.02,267.02,158,328.35,561.01,213.02,517.02,304,235.59,0,2
-76.499,226.5,114.03,5.021,71.83,117.83,286.83,169,244.36,477.39,268.83,612.04,343.21,237.38,0,2
-77.691,230.14,114.14,4.8284,96.135,132.13,286.13,154,228.77,452.52,290.13,641.13,351,228.91,0,2
-76.295,141.96,106.02,4.9588,50.312,105.31,271.31,166,217.77,423.31,226.31,544.31,318,207.81,0,2
-75.542,147.14,106.6,5.1181,50.312,100.31,271.31,171,179.69,394.45,278.31,624.31,346,218.21,0,2
-75.617,141.46,107.05,5.3223,63.553,109.55,284.27,174.72,230.31,439.41,236.27,562.27,326,211.89,0,2
-77.92,195.85,117.02,5.7271,88.285,130.29,267.29,137,263.45,480.06,212.29,503.29,291,218.52,0,2
-74.55,171.61,109.85,5.3585,53.304,100.3,284.3,184,220.77,472.88,287.3,633.3,346,256.57,0,2
-76.915,207.14,118.11,5.9789,90.514,126.51,267.83,141.32,216.45,439.03,235.83,541.28,305.45,224.75,0,2
-74.868,183.87,110.35,5.285,51.872,93.872,257.87,164,194.92,404.76,270.87,618.87,348,213.44,0,2
-76.309,215.71,114.29,5.2078,56.942,119.94,296.94,177,447.27,696.48,199.94,491.94,292,252.51,0,2
-75.911,184.32,113.49,5.5443,99.335,139.33,307.33,168,109.35,285.27,271.33,586.46,315.12,177.33,0,2
-76.693,229.72,112.59,4.872,69.851,110.85,260.85,150,180.9,386.12,269.85,611.85,342,208.43,0,2
-74.693,172.48,111.96,5.7478,53.255,102.25,290.25,188,349.05,566.01,212.25,520.25,308,220.15,0,2
-75.023,258.93,115.94,5.217,83.591,123.59,297.59,174,217.61,439.87,265.59,601.59,336,225.78,0,2
-75.664,200.63,117.17,5.879,50.922,101.92,268.92,167,369.37,595.76,165.92,403.05,237.13,227.36,0,2
-75.375,196.06,108.9,4.8802,80.227,126.23,302.23,176,102.15,318.62,345.23,687.23,342,219.49,0,2
-76.227,247.32,118.15,5.5741,73.276,118.28,293.28,175,401.85,614.87,230.28,552.28,322,217.91,0,2
-74.054,164.03,109.59,5.4936,59.33,113.33,299.33,186,103.03,317.39,325.33,661.33,336,216.81,0,2
-77.434,184.36,117.7,6.2657,86.039,124.04,270.06,146.03,197.96,377.75,225.06,525.06,300,181.43,0,2
-76.22,204.63,115.41,5.4689,66.134,125.13,298.13,173,455.74,675.14,200.13,494.13,294,222.84,0,2
-74.5,243.61,119.79,5.9774,91.359,130.36,282.36,152,181.41,384.3,282.36,618.36,336,206.14,0,2
-76.42,192.76,116.69,5.9975,95.566,135.57,301.57,166,221.82,424.07,226.57,529.57,303,204.22,0,2
-75.794,184.86,114.73,5.7667,52.609,97.609,253.04,155.43,173.76,387.3,242.04,546.22,304.18,215.18,0,2
-76.634,203.65,115.1,5.5429,90.649,124.65,275.87,151.22,253.05,466.46,207.65,498.87,291.22,215.34,0,2
-75.821,203.65,111.41,5.0966,52.505,94.505,254.5,160,174.39,392,237.5,551.5,314,219.44,0,2
-75.007,157.18,110.37,5.627,83.15,120.15,292.15,172,188.6,380.1,241.15,560.15,319,193.66,0,2
-75.43,231.71,119.95,6.0463,69.701,123.7,302.7,179,502.18,735.01,228.7,546.7,318,238.74,0,2
-77.349,272.71,118.26,5.139,54.34,120.34,284.34,164,356.77,565.82,163.34,408.34,245,210.14,0,2
-74.637,159.7,114.06,6.6595,98.994,135.99,293.99,158,314.53,534.65,253.99,587.99,334,224.93,0,2
-77.452,195.93,114.78,5.294,61.44,104.44,250.44,146,274.65,513.34,206.44,494.44,288,240.56,0,2
-75.519,186.08,110.75,5.2172,97.331,135.33,293.33,158,119.99,316.53,281.33,605.33,324,198.42,0,2
-75.186,158.8,112.68,6.216,87.524,125.52,302.52,177,219.65,453.23,322.52,680.52,358,240.16,0,2
-75.581,207.43,113.1,5.218,81.343,128.34,309.34,181,196.37,401.22,269.34,605.34,336,208.08,0,2
-73.977,170.64,115.03,6.6858,86.717,122.72,281.72,159,149.48,367.53,310.72,652.72,342,221.41,0,2
-75.599,141.59,111.58,6.5482,104.1,139.1,306.1,167,152.38,387.47,329.1,674.1,345,239.27,0,2
-76.64,218.69,116.55,5.3236,55.695,105.69,256.69,151,124.42,325.58,237.69,525.69,288,202.13,0,2
-75.39,152.46,107.13,5.093,75.015,119.02,285.02,166,199.89,431.78,213.02,501.02,288,233.38,0,2
-76.495,205.06,113.03,5.1994,95.394,132.39,284.39,152,156.17,390.07,304.39,644.39,340,237.33,0,2
-76.081,200.29,117.82,6.0389,98.815,136.81,305.81,169,338.71,563.05,247.81,578.81,331,229.19,0,2
-76.441,174.8,113.74,5.6241,95.835,134.84,290.84,156,115.76,308.13,329.84,672.84,343,195.47,0,2
-72.966,223.42,109.92,5.0958,54.868,106.87,278.87,172,148.02,345.04,254.87,574.87,320,198.87,0,2
-77.29,247.78,120.23,5.6308,54.258,119.26,276.26,157,369.63,594.79,139.26,340.26,201,225.59,0,2
-75.313,227.71,113,5.1102,65.12,119.12,302.12,183,283.12,475.85,196.12,486.9,290.78,194.56,0,2
-75.896,180.63,114.94,6.0001,101.97,136.97,304.21,167.24,150.77,361.03,341.21,693.21,352,215.15,0,2
-76.205,186.54,112.19,5.334,99.896,138.9,307.9,169,163.25,377.43,240.9,545.9,305,215.91,0,2
-75.587,223.83,118.32,5.9501,107.98,141.98,298.98,157,256.25,464.39,202.98,484.98,282,209.77,0,2
-71.49,157.22,110.3,6.2175,90.996,124,276,152,101.71,285.41,239,527,288,184.6,0,2
-76.372,143.43,109.15,5.4632,70.515,114.52,280.52,166,254.04,500.85,291.52,647.52,356,252.74,0,2
-77.494,184.87,116.6,6.0038,65.893,110.89,257.89,147,389.25,624.82,200.89,490.03,289.13,238.31,0,2
-77.079,244.66,112.13,4.4166,76.918,123.92,279.92,156,161.58,365.22,246.92,564.92,318,205.56,0,2
-74.178,142.27,109.85,6.0995,71.145,120.14,308.05,187.91,230.49,444.59,218.14,509.35,291.21,215.73,0,2
-73.781,145.91,109.81,6.049,50.106,101.11,288.11,187,342.37,575.23,201.11,486.11,285,235.01,0,2
-73.615,201.46,117.32,6.4139,73.43,124.43,293.43,169,388.85,611.46,138.43,336.43,198,223.05,0,2
-76.24,194.12,111.45,5.2509,85.278,129.28,302.28,173,352.06,585.72,234.28,558.28,324,238.06,0,2
-75.055,166.26,110.51,5.4472,65.906,118.91,297.91,179,272.6,447.81,185.91,462.91,277,176.53,0,2
-76.841,153.56,113.82,6.335,89.43,135.43,303.43,168,382.91,610.84,234.43,557.43,323,232.61,0,2
-77.659,246.79,117.87,5.2154,64.614,108.61,250.61,142,334.68,561.72,226.61,549.61,323,230.93,0,2
-76.017,219.44,109.56,4.5346,66.834,115.83,290.83,175,159.91,375.51,344.83,705.83,361,221.44,0,2
-74.53,141.68,108.56,5.6506,100.74,134.74,309.01,174.27,120.45,321.25,289.01,619.01,330,202.9,0,2
-76.393,269.89,118.1,5.3101,76.65,115.65,268.9,153.25,209.33,432,252.9,578.9,326,225.52,0,2
-75.078,213.06,110.62,4.8956,70.857,118.86,296.86,178,100.16,328.19,311.86,642.86,331,230.12,0,2
-75.387,179.79,107.63,4.9728,51.071,108.07,288.07,180,115.84,319.5,345.07,698.07,353,207.53,0,2
-74.595,142.17,106.72,5.4527,62.751,102.75,278.75,176,178.63,384.49,276.75,624.75,348,209.32,0,2
-76.908,150.9,116.41,8.8262,116.95,146.95,277.95,131,418.41,658.2,233.95,547.95,314,244.69,0,2
-75.015,181.35,118.86,7.5222,68.564,112.56,256.56,144,461.84,679.37,189.56,457.56,268,219.89,0,2
-76.112,178.8,111.21,5.1727,65.01,104.01,256.01,152,174.13,379.72,246.01,569.01,323,207.7,0,2
-78.141,231.89,120.34,5.8185,87.026,125.03,250.03,125,231.6,450.66,155.03,367.03,212,219.8,0,2
